reach_diff,5f_win_diff,5f_loss_diff,5f_finish_diff,5f_finished_diff,5f_opp_win_diff,strpm_diff,tdpm_diff,result
3,0,0,0,0,0,4.998822806019003,-0.13468013468013468,0
-6,-1,1,-1,1,13,1.4274914276060375,0.0,1
1,-1,1,-4,1,8,2.218885339013135,0.022222222222222223,1
4,1,-1,0,-1,12,-1.5567825494205865,0.06666666666666667,1
4,1,-1,2,1,-20,-0.6810127706981333,0.0,1
0,0,0,0,2,11,-0.15677321156773205,0.0,0
5,0,0,1,0,-5,-1.4078095267007873,0.0,0
2,-1,1,0,3,0,-1.1857261200605733,-0.05002084201750729,1
6,1,-1,1,-1,-27,-0.4321783811813513,-0.02868995427332296,0
4,-1,1,-2,0,1,0.25093236235242156,0.2,0
0,0,0,-2,-1,-2,2.6034789987271956,0.1902984019233489,0
5,-2,2,-2,0,24,-0.11581695821125937,0.14268727705112963,1
1,1,-1,2,-2,-31,0.20628103765612904,0.012407169849840631,1
2,3,-3,3,-2,3,-2.5894682821608708,-0.06366821961526434,0
-4,0,0,1,0,-45,3.993584487174392,-0.09054325955734406,0
-8,0,0,1,-1,-9,-1.4345596190983754,0.050697084917617236,1
1,2,-2,0,-2,19,-0.8967160064721038,-0.24324324324324323,1
0,1,-1,1,-2,-36,1.611989346137975,0.2067599504820497,0
0,2,-3,3,-2,-40,1.553873603155226,0.06479481641468682,1
2,2,-3,1,0,-24,3.1199551389890248,-0.04681566931026196,1
3,1,-2,1,0,-44,1.615211511414043,0.07938980850373255,0
2,2,-2,-1,1,13,-0.782190720674766,0.12355768654258936,0
-3,1,-1,0,0,-33,1.3093964858670732,-0.09523809523809523,0
1,0,0,0,1,0,-2.786061125392746,-0.06169665809768638,0
0,-1,0,1,-1,-54,-0.9852923000865159,-0.11123470522803114,0
0,0,0,0,-2,-11,0.15677321156773205,0.0,1
2,0,0,2,-2,-11,0.48299570288520544,-0.10570902394106814,0
5,0,0,-1,-1,-10,0.4978457358716222,0.032555615843733045,0
2,-1,1,0,1,6,1.5464589615558335,-0.05156816544786417,0
0,0,0,1,0,-63,-0.992304769307915,-0.03050330452465684,0
0,1,-2,3,1,2,0.6598785280457311,-0.0690246516613076,0
-3,-1,0,-1,-1,-16,-1.953207419420869,-0.05272874710670928,1
-3,1,-2,1,-3,7,-0.8662169289005726,-0.025778811283218732,0
-3,0,0,1,0,-1,0.7505057111987963,-0.036485253876558224,0
